xcoord,ycoord
18.37611078,-31.58357624
18.31286076,-31.70372014
18.51617647,-31.55960061
18.54639232,-31.66045519
18.42781129,-31.82490577
18.62378118,-31.8330278
18.79764426,-31.55451027
18.40466045,-31.04834653
19.16288345,-32.55013258
19.02097923,-32.54853267
18.84973975,-32.27843508
18.65513029,-32.20487143
18.44676838,-32.23591936
19.10332069,-32.12087825
19.03015147,-32.92848111
18.89137102,-33.04694728
18.76347165,-32.86604949
18.76785701,-32.89711981
18.71584764,-32.64216799
18.40577034,-32.72023875
18.2238678,-32.85935031
17.91765271,-32.99686412
18.01871034,-32.93341903
17.92399447,-33.02736227
17.92056924,-33.00925435
17.95115079,-32.96264625
17.95528445,-33.08350997
17.92605361,-33.05277573
18.02168476,-33.09151152
18.00833847,-33.08540442
18.15033498,-33.14837912
17.98321496,-33.1522144
17.99225248,-33.14690823
18.38576777,-33.06024439
18.12606079,-32.92076355
18.03076634,-32.92141922
17.98074693,-32.91884322
17.95125874,-32.81939853
18.07436421,-32.80884288
18.00900491,-32.91326793
18.05660307,-33.0049601
18.60926933,-33.09503036
18.6703691,-33.15169184
18.80242983,-33.22405241
18.59951746,-33.41414272
18.31021684,-33.34816854
18.08641726,-33.42391941
18.43579355,-33.3061508
18.7203715,-33.57004544
18.73694106,-33.46893469
18.69921611,-33.46654466
18.72230683,-33.4536605
18.70342306,-33.46831246
18.86597751,-33.45372963
19.34593786,-33.35665496
19.24523515,-33.51579286
19.29125342,-33.37357469
19.33373819,-33.29768471
19.3962655,-33.42729647
19.3187317,-33.33393697
19.16733611,-33.35818992
19.47239601,-32.94738686
19.27088059,-32.78874616
19.26941412,-33.17655854
19.13724197,-33.19734491
19.90998359,-32.87650558
18.88577641,-33.77616852
19.01727055,-33.63987509
18.88644537,-33.63312189
18.96132613,-33.74015716
18.98745121,-33.66581941
18.98806536,-33.67418317
18.99541795,-33.66202738
18.99283698,-33.67235298
18.99922239,-33.6819306
18.99427417,-33.65397924
19.00552287,-33.66706591
18.98991157,-33.67948886
18.99372645,-33.70225218
18.99703727,-33.69664843
18.93875814,-33.73827062
18.98564595,-33.69648706
18.96178799,-33.67850119
19.01695607,-33.59441137
18.97149434,-33.72132677
18.99657843,-33.7292069
18.99673795,-33.72321576
18.98722032,-33.71902702
18.98422634,-33.73813841
18.99385294,-33.71572769
19.12607012,-33.74788256
19.00981967,-33.73500515
19.00511869,-33.73907195
19.06065142,-33.79875723
19.0493643,-33.67257878
19.02281169,-33.17696499
19.03181502,-33.42664833
19.00511946,-33.70031891
18.99741654,-33.73840298
19.117721,-33.92612101
19.09118939,-33.89159301
19.0305987,-33.87645728
18.94751417,-33.91981775
18.9568678,-33.96229008
18.8716482,-33.87080708
18.88296585,-33.93174444
18.87155359,-33.93686689
18.8617758,-33.93652285
18.86396294,-33.92576867
18.81400308,-33.93203096
18.8430136,-33.92100923
18.84925418,-33.91526219
18.84485583,-33.9162067
18.84616656,-33.91995357
18.85297938,-33.91264383
18.85388763,-33.90375148
18.873945,-33.81349762
18.7928604,-33.87032183
18.79216131,-33.99528321
18.87978519,-33.98700042
18.85688933,-33.9508627
20.08039856,-33.39935919
19.73660297,-33.4738334
19.71776519,-33.41286548
19.62433725,-33.4465245
19.49937739,-33.53893937
19.44071,-33.62778613
19.46017234,-33.63451514
19.47926241,-33.63812009
19.4610253,-33.65048248
19.4764244,-33.66481716
19.44984744,-33.65473733
19.42590919,-33.66094858
19.45692872,-33.67073652
19.43905431,-33.6566718
19.36302782,-33.63357823
19.49756735,-33.64123145
19.49251695,-33.64531027
19.59442054,-33.71036763
19.37803229,-33.82301559
19.21137949,-33.63435149
19.44210085,-33.68517942
19.88127037,-33.79821502
19.89231162,-33.82149347
19.88956488,-33.78770586
20.08020576,-33.91882934
19.74881818,-33.93782594
19.79456859,-33.75853515
20.29405314,-33.85282857
20.10465476,-33.98789776
20.01203881,-33.79150802
20.08251929,-33.83699593
20.06620911,-33.85589169
20.15870205,-33.63566707
19.7254662,-34.1834087
19.47182245,-34.09865017
19.51847296,-34.33601238
19.35328105,-34.29031996
19.32357996,-34.02272623
19.23844783,-33.9933826
19.18795785,-34.20166616
18.99212534,-34.12530904
19.13419859,-34.06460047
19.04972931,-34.22675522
19.0057105,-34.15711785
18.97993223,-34.20219776
18.99887907,-34.16205086
19.03266881,-34.15499014
19.39431416,-34.59791679
19.34380423,-34.5992962
19.3074594,-34.39736951
19.23700794,-34.36445384
19.21598003,-34.42717348
19.21093197,-34.43164767
19.19632508,-34.41785009
19.13581541,-34.32460348
19.02207617,-34.30492695
18.9043429,-34.3034939
19.41431463,-34.68894322
19.41724194,-34.68207945
19.55149,-34.55579089
19.21204948,-34.42339027
19.17210081,-34.40880476
19.76707589,-34.46442267
19.93049711,-34.3629013
20.06326682,-34.52376825
20.29064567,-34.43636904
19.90247257,-34.67019737
20.1366718,-34.62688509
20.25696375,-34.1376754
20.69533096,-33.81295312
20.54068907,-34.21824987
20.45559073,-34.02347028
20.43130148,-34.06008915
20.43794357,-34.0383919
21.28154663,-33.50388856
21.78370869,-33.55835958
21.5430928,-33.47923768
21.16275368,-33.63068015
21.56479708,-34.28372896
21.57285631,-34.07492363
21.17661184,-34.28426956
20.8118295,-34.2484094
20.95949365,-34.10543382
21.36278209,-34.08435515
21.29655088,-33.93388925
21.26608456,-34.11132786
20.93630143,-34.02725629
22.09417104,-34.168864
22.08253904,-34.17940833
22.07454577,-34.17532979
22.0476351,-34.07275392
22.22714719,-33.96683048
22.11687906,-34.19087796
21.84810136,-34.05592768
22.1421656,-34.18308924
22.11865019,-34.17768534
22.10884901,-34.13873861
22.05435832,-34.19477969
22.11383115,-34.16867698
22.10005667,-34.17717661
22.10648467,-33.93938322
22.41924182,-33.94431777
22.47140459,-33.9421248
22.44082956,-33.95485269
22.6403302,-33.98873776
22.47932583,-33.96314066
22.48334442,-33.97896216
22.47562687,-33.99233582
22.48729846,-33.9907348
22.48806189,-34.00896822
22.49371944,-34.00944657
22.63395459,-33.90122533
22.47527566,-34.00793153
22.48604654,-33.99975545
22.45705716,-34.0069761
22.46950677,-34.0002235
22.4760179,-34.02031918
22.46394629,-33.97920475
22.49435189,-33.94585552
22.45659281,-33.96516126
22.45963015,-33.99113364
22.50733814,-34.0209552
22.35212349,-33.9162629
22.41157227,-34.02585193
23.21476555,-33.73136462
22.95973649,-33.59830572
22.41729537,-33.96491434
22.44969264,-34.018772
22.18312283,-33.59134057
21.98681111,-33.62290667
22.20370496,-33.59865565
22.23432802,-33.60041735
22.22893538,-33.61182958
22.24361021,-33.58599779
22.21961791,-33.58195819
22.2414637,-33.60432083
22.37534039,-33.55034256
22.43920542,-33.57357103
22.44795933,-33.47579137
22.24614091,-33.71952419
22.22322529,-33.60083257
23.49678227,-33.8949971
23.3535548,-34.06518621
23.35261238,-34.04713689
23.34079995,-34.04854601
23.32084578,-34.0482985
23.31278257,-34.0556293
23.28424588,-33.9808239
22.84784873,-34.03646002
22.84214949,-33.93482055
23.10368483,-34.0405412
23.10092475,-33.91825561
22.97054608,-33.95851362
23.09293257,-34.04789985
23.10066303,-34.03252181
23.08224108,-34.03023758
23.11038491,-34.05943569
23.03501645,-34.0270627
23.09885197,-34.05546753
20.84629922,-33.21109408
20.96704305,-33.10149966
20.93903834,-33.15404456
20.95598965,-33.2043648
21.80143005,-32.90908188
22.43646721,-33.1138805
22.02350222,-33.20593808
21.82381805,-33.29158848
23.74150758,-31.89449698
23.09585744,-32.34289391
22.5574397,-32.37397091
22.59280234,-32.36996617
22.57498276,-32.36389753
22.47776984,-32.67398647
22.08646894,-32.24548959
18.56478621,-33.85434718
18.59779817,-33.89434238
18.6586431,-33.89248392
18.51238093,-33.86358683
18.54265812,-33.86903913
18.73648252,-33.87346245
18.714115,-33.87823258
18.69127721,-33.89972974
18.64609816,-33.92322855
18.61749882,-33.9111157
18.68334252,-33.93276278
18.64685329,-33.94572981
18.64368424,-33.96197708
18.7164644,-33.96464962
18.83133674,-34.0625771
18.70618895,-34.01827323
18.70543089,-33.99707086
18.63796446,-34.0094907
18.66871819,-33.95818266
18.64472255,-33.98051171
18.65332288,-33.86163141
18.61548334,-33.93960487
18.4799942,-33.73817312
18.6079368,-33.96841015
18.59406565,-33.92968834
18.57450263,-33.91005194
18.54599953,-33.89986958
18.57933526,-33.93207623
18.43857953,-33.54855708
18.55911879,-33.93220089
18.57579864,-33.9621866
18.51148972,-33.62021512
18.57304531,-34.01539589
18.58570964,-34.00869168
18.61278018,-34.00522211
18.60198818,-33.99350372
18.58619214,-33.99467453
18.57212518,-33.99590271
18.58166346,-33.98576181
18.57305773,-33.9728405
18.56712533,-33.98292477
18.55789531,-33.99669031
18.55734086,-34.04519229
18.54664564,-33.96361404
18.55568903,-33.9828868
18.53939004,-33.98064562
18.53068311,-33.99536355
18.51787954,-33.98034208
18.51462693,-33.95791494
18.55124445,-33.94891814
18.53004589,-33.94372497
18.53626045,-33.95003869
18.51107659,-33.9333997
18.38352052,-33.97006462
18.36914004,-33.80548297
18.49682092,-33.89431043
18.51507275,-33.90957271
18.46271482,-33.94319585
18.48307535,-33.97828445
18.46201298,-33.97436262
18.50096167,-33.98262928
18.41407451,-34.23128132
18.43395889,-34.00113933
18.49487836,-34.01252232
18.44921088,-34.11308905
18.51052426,-34.04001912
18.50657477,-34.02877503
18.51553324,-34.07230524
18.47629403,-34.07348721
18.37927368,-34.10694732
18.61202455,-33.85730687
18.42232353,-34.06983713
18.4762899,-34.04893806
18.46112575,-34.03371487
18.35543224,-34.02751762
18.59193034,-34.03090752
18.61317777,-34.02795282
18.41474741,-33.94737805
18.60066932,-34.04899514
18.62707305,-34.04874595
18.57361764,-34.00690785
18.61124105,-34.06309587
18.63466685,-34.06504302
18.83445962,-34.10402924
18.92390861,-34.07319471
18.8470204,-34.11548064
18.85416628,-34.12444219
18.64876528,-34.01372847
18.59647589,-34.01373895
18.66500914,-34.01851967
18.65275597,-34.02361298
18.65997195,-34.02435604
18.6612387,-34.0429945
18.68493724,-34.03229907
18.67517451,-34.04205727
18.713355,-34.06362735
18.707816,-34.04123779
18.69085085,-34.052613
18.67386503,-34.05857197
18.66286078,-34.0625167
18.888467,-34.18260442
18.74793104,-33.84100684
18.690199,-33.85819464
18.69686156,-33.83142961
18.53321792,-33.76116597
18.67198916,-33.73308097
18.6322374,-33.98237092
18.49609431,-33.80652351
18.6733083,-33.98212038
18.76745656,-34.06270389
18.48789348,-34.05777194
18.72196062,-33.85050288
18.65160542,-33.83159131
18.51098978,-33.83258027
18.65849318,-33.99961292
18.4362837,-33.91834669
18.63547575,-34.02983052
23.84868793,-32.63775843
24.55581767,-31.99053555
24.56394041,-32.28359498
24.54220152,-32.2616122
24.55853741,-32.25157119
24.5397459,-32.23623294
24.29414888,-32.33294712
23.49155059,-33.30324872
23.63987741,-33.30422936
24.51400583,-32.9076443
24.67105535,-32.94197737
24.58494933,-33.17135727
24.03848458,-33.25916524
24.55795179,-32.2685539
25.94701285,-32.76350519
25.58321694,-32.73568582
25.59979001,-32.72790113
25.03363289,-32.52423839
25.5661082,-32.7026454
25.48765957,-32.9731753
26.38127927,-33.11029288
26.5575351,-33.29017539
26.54241106,-33.29065443
26.47345441,-33.29944324
26.5586608,-33.27775527
26.57196179,-33.28470169
26.54974428,-33.29704442
26.53845338,-33.31678939
26.58134142,-33.2922676
26.54444754,-33.30466424
26.61830389,-33.22479926
26.52235366,-33.33786676
26.69322053,-33.33036774
26.25043729,-33.38052779
26.50720739,-33.700843
26.42134761,-33.61594818
26.56534899,-33.65672789
26.60266273,-33.59450375
26.81328117,-33.51041052
26.84601084,-33.46929072
26.89042508,-33.56704188
26.88209076,-33.57638034
26.8923113,-33.58372834
26.88937281,-33.60090392
25.48262467,-33.39999157
25.4845647,-33.3804391
26.05614654,-33.6548223
26.05904416,-33.53027311
25.7083467,-33.52005207
25.66253199,-33.51911615
25.1136661,-33.50337312
25.69843952,-33.41877142
24.61190659,-34.0710518
24.91985442,-34.06123914
